date_operation,libelle,montant,solde_avt_ope,categ,type,tranche_depense,sens,annee,mois,jour,jour_sem,jour_sem_num,weekend,quart_mois
2023-03-31,DON XX XX XX XX XX XX XX,-1.44,1515.2499999999982,AUTRE,DON,petite,debit,2023,3,31,<built-in method day_name of Timestamp object at 0x7f68fe7d0f90>,5,False,4
2023-04-03,CARTE XX XX RAPT XX,-24.0,1513.8099999999981,TRANSPORT,CARTE,petite,debit,2023,4,3,<built-in method day_name of Timestamp object at 0x7f68fe7d0f20>,1,False,1
2023-04-03,CARTE XX XX RAPT XX,-73.0,1489.8099999999981,TRANSPORT,CARTE,petite,debit,2023,4,3,<built-in method day_name of Timestamp object at 0x7f68fe7d0eb0>,1,False,1
2023-04-03,CARTE XX XX XX XX,-14.39,1416.8099999999981,AUTRE,CARTE,petite,debit,2023,4,3,<built-in method day_name of Timestamp object at 0x7f68fe7d0e40>,1,False,1
2023-04-03,VIREMENT XX XX XX XX XX XX,4.8,1402.419999999998,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,3,<built-in method day_name of Timestamp object at 0x7f68fe7d0dd0>,1,False,1
2023-04-03,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,676.0,1407.219999999998,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,3,<built-in method day_name of Timestamp object at 0x7f68fe7d0d60>,1,False,1
2023-04-05,PRELEVEMENT XX TELEPHONE XX XX,-7.02,2083.219999999998,FACTURE TELEPHONE,AUTRE,petite,debit,2023,4,5,<built-in method day_name of Timestamp object at 0x7f68fe7d0cf0>,3,False,1
2023-04-05,CARTE XX XX XX XX XX,-15.2,2076.199999999998,AUTRE,CARTE,petite,debit,2023,4,5,<built-in method day_name of Timestamp object at 0x7f68fe7d0c80>,3,False,1
2023-04-05,CARTE XX XX LES ANCIENS ROBINSON XX,-6.8,2060.999999999998,COURSES,CARTE,petite,debit,2023,4,5,<built-in method day_name of Timestamp object at 0x7f68fe7d0c10>,3,False,1
2023-04-05,CARTE XX XX XX XX,-12.0,2054.199999999998,AUTRE,CARTE,petite,debit,2023,4,5,<built-in method day_name of Timestamp object at 0x7f68fe7d0ba0>,3,False,1
2023-04-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.84,2042.199999999998,COTISATION BANCAIRE,AUTRE,petite,debit,2023,4,6,<built-in method day_name of Timestamp object at 0x7f68fe7d0b30>,4,False,1
2023-04-07,VIREMENT XX XX XX XX XX XX XX XX XX XX,992.8,2040.359999999998,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,7,<built-in method day_name of Timestamp object at 0x7f68fe7d0ac0>,5,False,1
2023-04-10,CARTE XX XX VELOC XX XX,-2.7,3033.159999999998,TRANSPORT,CARTE,petite,debit,2023,4,10,<built-in method day_name of Timestamp object at 0x7f68fe7d0a50>,1,False,2
2023-04-10,CARTE XX XX LES ANCIENS ROBINSON XX,-42.42,3030.4599999999978,COURSES,CARTE,petite,debit,2023,4,10,<built-in method day_name of Timestamp object at 0x7f68fe7d09e0>,1,False,2
2023-04-10,CARTE XX XX XX XX XX XX XX XX XX XX,-1.6,2988.0399999999977,AUTRE,CARTE,petite,debit,2023,4,10,<built-in method day_name of Timestamp object at 0x7f68fe7d0970>,1,False,2
2023-04-10,CARTE XX XX XX XX XX,-20.64,2986.439999999998,AUTRE,CARTE,petite,debit,2023,4,10,<built-in method day_name of Timestamp object at 0x7f68fe7d0900>,1,False,2
2023-04-10,CARTE XX XX XX XX XX XX,-6.0,2965.799999999998,AUTRE,CARTE,petite,debit,2023,4,10,<built-in method day_name of Timestamp object at 0x7f68fe7d0890>,1,False,2
2023-04-10,CARTE XX XX CHEZ LUC XX,-12.42,2959.799999999998,RESTAURANT,CARTE,petite,debit,2023,4,10,<built-in method day_name of Timestamp object at 0x7f68fe7d0820>,1,False,2
2023-04-10,CARTE XX XX XX XX,-84.4,2947.379999999998,AUTRE,CARTE,moyenne,debit,2023,4,10,<built-in method day_name of Timestamp object at 0x7f68fe7d07b0>,1,False,2
2023-04-10,VIREMENT XX XX XX XX XX XX,1.6,2862.9799999999977,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,10,<built-in method day_name of Timestamp object at 0x7f68fe7d0740>,1,False,2
2023-04-10,CARTE XX XX XX XX XX,-24.0,2864.5799999999977,AUTRE,CARTE,petite,debit,2023,4,10,<built-in method day_name of Timestamp object at 0x7f68fe7d06d0>,1,False,2
2023-04-11,VIREMENT XX XX XX XX XX XX XX,836.0,2840.5799999999977,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,11,<built-in method day_name of Timestamp object at 0x7f68fe7d0660>,2,False,2
2023-04-11,CARTE XX XX XX XX XX,-7.56,3676.5799999999977,AUTRE,CARTE,petite,debit,2023,4,11,<built-in method day_name of Timestamp object at 0x7f68fe7d05f0>,2,False,2
2023-04-11,VIREMENT XX XX XX XX XX XX XX,869.44,3669.0199999999977,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,11,<built-in method day_name of Timestamp object at 0x7f68fe7d0580>,2,False,2
2023-04-11,CARTE XX XX XX XX,-48.0,4538.459999999997,AUTRE,CARTE,petite,debit,2023,4,11,<built-in method day_name of Timestamp object at 0x7f68fe7d0510>,2,False,2
2023-04-12,CARTE XX XX XX XX XX,-28.96,4490.459999999997,AUTRE,CARTE,petite,debit,2023,4,12,<built-in method day_name of Timestamp object at 0x7f68fe7d0040>,3,False,2
2023-04-13,XX XX XX XX XX XX XX,-280.0,4461.499999999998,AUTRE,AUTRE,grosse,debit,2023,4,13,<built-in method day_name of Timestamp object at 0x7f68fe7b6a50>,4,False,2
2023-04-14,CARTE XX XX XX XX XX,-0.8,4181.499999999998,AUTRE,CARTE,petite,debit,2023,4,14,<built-in method day_name of Timestamp object at 0x7f68fe7b6ba0>,5,False,2
2023-04-14,CARTE XX XX CHEZ LUC XX,-8.8,4180.699999999997,RESTAURANT,CARTE,petite,debit,2023,4,14,<built-in method day_name of Timestamp object at 0x7f68fe7b6f90>,5,False,2
2023-04-14,CARTE XX XX XX XX XX,-1.6,4171.899999999998,AUTRE,CARTE,petite,debit,2023,4,14,<built-in method day_name of Timestamp object at 0x7f68fe7b6f20>,5,False,2
2023-04-15,VIREMENT PERMANENT LOYER,-345.0,4170.299999999997,LOYER,VIREMENT,grosse,debit,2023,4,15,<built-in method day_name of Timestamp object at 0x7f68fe7b6eb0>,6,False,2
2023-04-18,CARTE XX XX VELOC XX XX,-1.7,3825.2999999999975,TRANSPORT,CARTE,petite,debit,2023,4,18,<built-in method day_name of Timestamp object at 0x7f68fe7b6e40>,2,False,3
2023-04-18,RETRAIT XX XX XX,-24.0,3823.5999999999976,AUTRE,RETRAIT,petite,debit,2023,4,18,<built-in method day_name of Timestamp object at 0x7f68fe7b6dd0>,2,False,3
2023-04-18,CARTE XX XX XX XX XX,-8.72,3799.5999999999976,AUTRE,CARTE,petite,debit,2023,4,18,<built-in method day_name of Timestamp object at 0x7f68fe7b69e0>,2,False,3
2023-04-18,CARTE XX XX XX XX XX,-10.32,3790.879999999998,AUTRE,CARTE,petite,debit,2023,4,18,<built-in method day_name of Timestamp object at 0x7f68fe7b6cf0>,2,False,3
2023-04-18,VIREMENT XX XX XX XX XX XX,1.6,3780.5599999999977,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,18,<built-in method day_name of Timestamp object at 0x7f68fe7b6d60>,2,False,3
2023-04-18,CARTE XX XX XX XX,-74.58,3782.1599999999976,AUTRE,CARTE,petite,debit,2023,4,18,<built-in method day_name of Timestamp object at 0x7f68fe7f2040>,2,False,3
2023-04-19,CARTE XX XX XX XX XX,-13.6,3707.5799999999977,AUTRE,CARTE,petite,debit,2023,4,19,<built-in method day_name of Timestamp object at 0x7f68fe7f20b0>,3,False,3
2023-04-20,CARTE XX XX XX XX,-7.2,3693.9799999999977,AUTRE,CARTE,petite,debit,2023,4,20,<built-in method day_name of Timestamp object at 0x7f68fe7f2120>,4,False,3
2023-04-21,CARTE XX XX L'EPICERIE DEMBAS XX XX,-10.43,3686.779999999998,AUTRE,CARTE,petite,debit,2023,4,21,<built-in method day_name of Timestamp object at 0x7f68fe7f2190>,5,False,3
2023-04-24,CARTE XX XX XX XX XX,-7.84,3676.349999999998,AUTRE,CARTE,petite,debit,2023,4,24,<built-in method day_name of Timestamp object at 0x7f68fe7f2200>,1,False,3
2023-04-24,CARTE XX XX XX XX,-11.64,3668.509999999998,AUTRE,CARTE,petite,debit,2023,4,24,<built-in method day_name of Timestamp object at 0x7f68fe7f2270>,1,False,3
2023-04-24,CARTE XX XX CHEZ LUC XX,-9.2,3656.869999999998,RESTAURANT,CARTE,petite,debit,2023,4,24,<built-in method day_name of Timestamp object at 0x7f68fe7f22e0>,1,False,3
2023-04-25,CARTE XX XX LES ANCIENS ROBINSON XX,-32.67,3647.6699999999983,COURSES,CARTE,petite,debit,2023,4,25,<built-in method day_name of Timestamp object at 0x7f68fe7f2350>,2,False,4
2023-04-26,CARTE XX XX XX XX XX XX,-10.0,3614.999999999998,AUTRE,CARTE,petite,debit,2023,4,26,<built-in method day_name of Timestamp object at 0x7f68fe7f23c0>,3,False,4
2023-04-26,CARTE XX XX LA LOUVE XX XX,-1.9,3604.999999999998,COURSES,CARTE,petite,debit,2023,4,26,<built-in method day_name of Timestamp object at 0x7f68fe7f2430>,3,False,4
2023-04-28,DON XX XX XX XX XX XX XX,-1.4,3603.099999999998,AUTRE,DON,petite,debit,2023,4,28,<built-in method day_name of Timestamp object at 0x7f68fe7f24a0>,5,False,4
2023-04-28,CARTE XX XX LES ANCIENS ROBINSON XX,-9.11,3601.699999999998,COURSES,CARTE,petite,debit,2023,4,28,<built-in method day_name of Timestamp object at 0x7f68fe7f2510>,5,False,4
2023-04-30,XX XX VIREMENT XX XX XX,-36.0,3592.589999999998,AUTRE,VIREMENT,petite,debit,2023,4,30,<built-in method day_name of Timestamp object at 0x7f68fe7f2580>,7,False,4
2023-05-02,RETRAIT XX XX XX,-32.0,3556.589999999998,AUTRE,RETRAIT,petite,debit,2023,5,2,<built-in method day_name of Timestamp object at 0x7f68fe7f25f0>,2,False,1
2023-05-02,CARTE XX XX XX XX XX XX,-10.4,3524.589999999998,AUTRE,CARTE,petite,debit,2023,5,2,<built-in method day_name of Timestamp object at 0x7f68fe7f2660>,2,False,1
2023-05-02,CARTE XX XX XX XX XX XX,-8.48,3514.189999999998,AUTRE,CARTE,petite,debit,2023,5,2,<built-in method day_name of Timestamp object at 0x7f68fe7f26d0>,2,False,1
2023-05-02,VIREMENT XX XX XX XX XX XX XX,47.2,3505.7099999999978,AUTRE,VIREMENT,(pas une dépense),credit,2023,5,2,<built-in method day_name of Timestamp object at 0x7f68fe7f2740>,2,False,1
